codeUniq,designation,city,seller
411S10,SIDENOR,ZAGHOUANE,Houssem    Trabelsi
411S106,SOMEF TUNISIE,BEN AROUS,Houssem    Trabelsi
411S123,SMUPAT,ZAGHOUANE,Houssem    Trabelsi
411S128,"STE INDUSTRIE D'AMORTISSEURS ""SIA""",BEN AROUS,Houssem    Trabelsi
411S147,SNCFT,BEN AROUS,Houssem    Trabelsi
411S149,SIRTEC,BEN AROUS,Houssem    Trabelsi
411S150,SITEM SARL,ZAGHOUANE,Houssem    Trabelsi
411S151,SIMATRA,ZAGHOUANE,Houssem    Trabelsi
411S153,"SOCIETE CARTHAGE INDUSTRIE ""SCI""",ZAGHOUANE,Houssem    Trabelsi
411S163,WKW TUNISIE SARL,BIZERTE,Houssem    Trabelsi
411S171,CHAKIRA CABLE,TUNIS,Houssem    Trabelsi
411S172,SOTUVER,ZAGHOUANE,Houssem    Trabelsi
411S173,SOLUTION COMPOSITE,ZAGHOUANE,Houssem    Trabelsi
411S175,STE SUMA,ZAGHOUANE,Houssem    Trabelsi
411S178,STE SIBEC,BIZERTE,Houssem    Trabelsi
411S183,"SEGNERE SITE TUNISIE ""SST""",TUNIS,Houssem    Trabelsi
411S184,SCEET,ZAGHOUANE,Houssem    Trabelsi
411S199,STE SOCABS,BEJA,Houssem    Trabelsi
411S23,SICAME,TUNIS,Houssem    Trabelsi
411S233,"STE AFRIQUE ACIER ""SAFAC""",KAIROUAN,Houssem    Trabelsi
411S237,STAAMP TUNISIE ,ZAGHOUANE,Houssem    Trabelsi
411S238,STE SUMIRIKO AUTOMOTIVE HOSE TUNISIA,ARIANA,Houssem    Trabelsi
411S239,ST METAL,TUNISIE,Houssem    Trabelsi
411S243,STE SAME TUNISIE,ZAGHOUANE,Houssem    Trabelsi
411S245,STE TUN INDU ELEC DE LUMIERE STIEL,TUNIS,Houssem    Trabelsi
411S251,STE SKS MACHINING,BIZERTE,Houssem    Trabelsi
411S263,SACEM INDUSTRIES,TUNISIE,Houssem    Trabelsi
411S267,SOGECOM MAALEJ ET CIE,BEN AROUS,Houssem    Trabelsi
411S36,SEMG,BIZERTE,Houssem    Trabelsi
411S45,STE DMS TECHNOLOGIES,BEN AROUS,Houssem    Trabelsi
411S68,STEG,TUNIS,Houssem    Trabelsi
411S71,SIM BEN AROUS,BEN AROUS,Houssem    Trabelsi
411T29,TPR TUNISIE,BEN AROUS,Houssem    Trabelsi
411T39,TUNISAIR TECHNICS,TUNIS,Houssem    Trabelsi
411T40,TTE INTERNATIONAL,TUNIS,Houssem    Trabelsi
411T44,SOCIETE TUNELEC,BIZERTE,Houssem    Trabelsi
411T51,TUNITEK INDUSTRY,MANOUBA,Houssem    Trabelsi
411T56,STT / TRANSTU,TUNIS,Houssem    Trabelsi
411T59,STE TUNICAST,BEN AROUS,Houssem    Trabelsi
411T65,TECHNIPLAST INDUSTRIE,BIZERTE,Houssem    Trabelsi
411T72,TUNISO ALGERIENNE DES INDU METAL ,BEJA,Houssem    Trabelsi
411T82,TECALU,BEN AROUS,Houssem    Trabelsi
411T88,TOUTALU,TUNISIE,Houssem    Trabelsi
411T92,TRESCAL,BEN AROUS,Houssem    Trabelsi
411T96,TELNET,TUNISIE,Houssem    Trabelsi
411T99,TUNISCO,ZAGHOUANE,Houssem    Trabelsi
411U24,UNITECH,TUNIS,Houssem    Trabelsi
411V06,VALEO,MANOUBA,Houssem    Trabelsi
411V15,VERNICOLOR TUNISIA,TUNISIE,Houssem    Trabelsi
411W06,WIT,BEN AROUS,Houssem    Trabelsi
411Y03,YAZAKI AUTOMOTIVE PRODUCTS TUNISIA,BIZERTE,Houssem    Trabelsi
411Y04,YGM,KEF,Houssem    Trabelsi
